Latitude;Longitude;type;Country;Region;Location;Name;year_deployment;year_modification;min_depth_m;max_depth_m;bottom_depth_m;reef_edge_m;Min_dist_filt_km;min_dist_km;surrounding_seabed;meadows;typo_filt;reef_typology;structure_wreck;Material;Arrangement_modules;origin_reef;total_area_sqm;total_volume_cubm;n_oasis;dist_between_oasi_m;dimens_oasi_sqm;type_structures;n_structures;dim_structures_m;dist_between_structures_m;modules_shape;n_modules;dist_between_modules_m;dimension_leng_width_heigh_m;weight_or_displacement_tons;experimental_professional;scope;exploitation;possible_exploitation;observations;biocenosis;alien_species;Alien species (form);protected_species;Protected species (form);protect_area_y_n;Protected area;managment_prog_Y_N;Management_program;Concession_area_Y_N;Surveillance_service_Y_N;Surveillance_service;Monitoring_program_Y_N;Monitoring_program;Available data;Available literature (Scientific or Grey)
45.0422;13.6138;Natural reef;Croatia;Istra;Rovinj;Sv Ivan na pu?ini;;;18;18;18;0;4;4;Rocks;No;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.8125;13.8613;Natural reef;Croatia;Istra;Banjole;Bumbi?te;;;35;35;35;0;1;1;;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Aplysina aerophoba;;;;;no;no;no;no;;;;No;No;;
44.8241;13.8408;Natural reef;Croatia;Istra;Banjole;Fra?keri?;;;25;25;25;0;0.4;0.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
45.1697;14.0237;Natural reef;Croatia;Istra;Brse?;Lonjica;;;47;47;47;0;7.4;7.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Eunicella Cavolinii, Paramuricea Clavata;;;;;no;no;no;no;;;;No;No;;
44.7361;14.1888;Natural reef;Croatia;Primorje-Gorski Kotar;Martin??ica;Galijula;;;40;40;40;12;14.8;14.8;;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.5636;14.3275;Natural reef;Croatia;Primorje-Gorski Kotar;Mali Lo?inj;Male Srakane;;;10;10;10;0;11;11;Gravel;No;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.4969;14.3086;Natural reef;Croatia;Primorje-Gorski Kotar;Mali Lo?inj;Margarina;;;45;45;45;0;12;12;Sand;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.9738;14.4958;Natural reef;Croatia;Primorje-Gorski Kotar;Krk;Tre?a vala;;;38;38;38;0;11;11;Sand;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Sydnium;;;;;no;no;no;no;;;;No;No;;
45.075;14.7375;Natural reef;Croatia;Primorje-Gorski Kotar;Vrbnik;Kamenjak Lagnuste;;;55;55;55;0;4.6;4.6;Sand;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Condylactis aurantiaca;;;;;no;no;no;no;;;;No;No;;
45.0708;14.7266;Natural reef;Croatia;Primorje-Gorski Kotar;Vrbnik;Tenki;;;43;43;43;3;6.4;6.4;Rocks, Sand;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.8666;14.7761;Natural reef;Croatia;Primorje-Gorski Kotar;Kampor;Grgur Kanjon;;;50;50;50;3;20.3;20.3;Rocks, Gravel;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.8502;14.8175;Natural reef;Croatia;Primorje-Gorski Kotar;Kampor;Dvostruka  Stijena;;;45;45;45;0;24;24;Sand;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Pinna nobilis;;;Pinna nobilis;Pinna nobilis;no;no;no;no;;;;No;No;;
44.418;14.9519;Natural reef;Croatia;Zadar;Novalja;Maun;;;40;40;40;9;1.8;1.8;;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Clavelina oblonga;;;;;no;no;no;no;;;;No;No;;
44.0911;14.919;Natural reef;Croatia;Zadar;Bo?ava;Me?anj;;;40;40;40;6;25;25;Sand;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
44.0719;14.9313;Natural reef;Croatia;Zadar;Bo?ava;Kampanel Mi?njak;;;50;50;50;15;25.9;25.9;;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Gorgoniidae;;;;;no;no;no;no;;;;No;No;;
43.7622;15.8527;Natural reef;Croatia;?ibenik;?ibenik;?ibenski most;;;28;28;28;0;3.7;3.7;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Veretillum cynomorium;;;;;no;no;no;no;;;;No;No;;
43.6236;15.5769;Natural reef;Croatia;?ibenik;?irje;Blitvenica;;;45;45;45;0;6.4;6.4;;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Alcyonium corlloides;;;;;no;no;no;no;;;;No;No;;
43.6663;15.9069;Natural reef;Croatia;?ibenik;Krapanj;Krapanj;;;10;10;10;0;1.8;1.8;Rocks, Sand;No;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Porifera;;;;;no;no;no;no;;;;No;No;;
43.595;15.9113;Natural reef;Croatia;?ibenik;Primo?ten;Smokvica;;;30;30;30;0;1.3;1.3;Sand;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Porifera;;;;;no;no;no;no;;;;No;No;;
43.0822;15.458;Natural reef;Croatia;Split-Dalmatia;Komi?a;Jabuka;;;60;60;60;5;51.8;51.8;;Yes;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Cystoseria;;;;;no;no;no;no;;;;No;No;;
43.1166;15.8144;Natural reef;Croatia;Split-Dalmatia;Komi?a;Brusnik;;;60;60;60;20;24;24;Sand;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Eunicella cavolini;;;;;no;no;no;no;;;;No;No;;
43.0855;16.1933;Natural reef;Croatia;Split-Dalmatia;Vis;Voli?i;;;30;30;30;0;3.3;3.3;;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Gorgoniidae;;;;;no;no;no;no;;;;No;No;;
43.1788;16.3094;Natural reef;Croatia;Split-Dalmatia;Vis;Vodnjak Kampanel;;;57;57;57;5;12.9;12.9;;Yes;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Paramuricea Clavata;;;;;no;no;no;no;;;;No;No;;
43.1819;16.4061;Natural reef;Croatia;Split-Dalmatia;Hvar;Vela Gar?a;;;30;30;30;0;3.7;3.7;Sand;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
43.3241;16.3863;Natural reef;Croatia;Split-Dalmatia;Stomorska;Livka, Galerija;;;40;40;40;0;6.4;6.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Pseudolithophyllum expansum, Eunicella singularis;;;;;no;no;no;no;;;;No;No;;
43.2244;16.5191;Natural reef;Croatia;Split-Dalmatia;Starigrad;Kabal;;;50;50;50;5;8.3;8.3;Sand;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Hacelia attenuatu;;;;;no;no;no;no;;;;No;No;;
43.2333;16.5722;Natural reef;Croatia;Split-Dalmatia;Bol;Smo?iguzica;;;57;57;57;5;7.4;7.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
43.4125;16.7266;Natural reef;Croatia;Split-Dalmatia;Stani?i;Stani?i;;;20;20;20;0;0.2;0.2;Sand, mud;;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
43.3991;16.8883;Natural reef;Croatia;Split-Dalmatia;Brela;Vrulja;;;50;50;50;0;1.8;1.8;Rocks;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Corynactis viridis;;;;;no;no;no;no;;;;No;No;;
42.7277;16.8944;Natural reef;Croatia;Dobruvnik-Neretva;Ubli;Struga;;;55;55;55;25;3.7;3.7;;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Paramuricea Clavata;;;;;no;no;no;no;;;;No;No;;
42.775;17.1527;Natural reef;Croatia;Dobruvnik-Neretva;Zaklopatica;Glavat;;;60;60;60;6;25.9;25.9;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.9169;17.2027;Natural reef;Croatia;Dobruvnik-Neretva;Lumbarda;Ra?nji?;;;45;45;45;30;3.7;3.7;;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.915;17.3597;Natural reef;Croatia;Dobruvnik-Neretva;Trstenik;Dinga?;;;55;55;55;25;1.8;1.8;Sand;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.7836;17.3186;Natural reef;Croatia;Dobruvnik-Neretva;Pomena;Goli Rat;;;40;40;40;6;3.7;3.7;Rocks;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.7716;17.3325;Natural reef;Croatia;Dobruvnik-Neretva;Pomena;Greben ?tit;;;60;60;60;5;5.5;5.5;Sand;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.7661;17.3566;Natural reef;Croatia;Dobruvnik-Neretva;Pomena;Zakamenica;;;55;55;55;8;7.4;7.4;;No;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.7555;17.3883;Natural reef;Croatia;Dobruvnik-Neretva;Pomena;Lenga;;;86;86;86;5;10;10;;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.7522;17.4002;Natural reef;Croatia;Dobruvnik-Neretva;Pomena;Vanji ?koj;;;46;46;46;0;11.1;11.1;Sand;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Rhodophyta;;;;;no;no;no;no;;;;No;No;;
42.6611;18.0194;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Jabuka;;;40;40;40;9;7.4;7.4;;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.6619;18.0194;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Bezdan;;;57;57;57;1;7.4;7.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Fasciolaria lignaria;;;;;no;no;no;no;;;;No;No;;
42.6511;18.0544;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Grebeni;;;20;20;20;5;7.4;7.4;;Yes;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;"Posidonia meadows, 
cistoseire meadows";;;;;no;no;no;no;;;;No;No;;
42.6505;18.0583;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Mala Afrika;;;40;40;40;5;3.7;3.7;;;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.645;18.0858;Natural reef;Croatia;Dobruvnik-Neretva;Molunat;Sv. Andrija;;;80;80;80;3;12.9;12.9;Sand;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Haliclona mediterranea;;;;;no;no;no;no;;;;No;No;;
42.6336;18.1147;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Tomislav;;;40;40;40;20;7.4;7.4;Sand;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.6216;18.1202;Natural reef;Croatia;Dobruvnik-Neretva;Dubrovnik;Lokrum;;;5;5;5;0;7.4;7.4;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.5861;18.1783;Natural reef;Croatia;Dobruvnik-Neretva;Cavtat;Bobara;;;80;80;80;5;2.7;2.7;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.5802;18.1891;Natural reef;Croatia;Dobruvnik-Neretva;Cavtat;Oto?i? Mrkan;;;60;60;60;7;2.7;2.7;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
42.5708;18.2019;Natural reef;Croatia;Dobruvnik-Neretva;Cavtat;Mrkanjac;;;50;50;50;5;2.7;2.7;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Eunicella Cavolinii;;;;;no;no;no;no;;;;No;No;;
42.4419;18.4294;Natural reef;Croatia;Dobruvnik-Neretva;Molunat;Molunat;;;45;45;45;0;1;1;;;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;;;;;;no;no;no;no;;;;No;No;;
43.51388889;15.93777778;Natural reef;Croatia;?ibenik-Knin County;Rogoznica;Smokvica Vela;;;50;50;50;50;0;0;Detritic;No;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;Biogenic;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Infralitoral algae, Coraligen;;;;;no;no;no;no;;;;No;No;;Diving guide for the ?ibenik-Knin county
43.71944444;15.67277778;Natural reef;Croatia;?ibenik-Knin County;Kaprije;Rt Kaprije;;;15;45;45;30;0;0;Detritic;No;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;Geogenic;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Infralitoral algae, Coraligen;;;;;yes;Natura 2000 site, SCI;Yes;Public Institution for the Management of Protected Natural Areas and Other Protected Natural Areas in ?ibenik-Knin County;;;;;;;Diving guide for the ?ibenik-Knin county
43.62472222;15.57472222;Natural reef;Croatia;?ibenik-Knin County;Blitvenica lighthouse;Blitvenica;;;60;60;60;42;5.4;5.4;Detritic;No;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;Biogenic;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Infralitoral algae, Coraligen;;;;;yes;Natura 2000 site, SCI;Yes;Public Institution for the Management of Protected Natural Areas and Other Protected Natural Areas in ?ibenik-Knin County;;;;;;;Diving guide for the ?ibenik-Knin county
43.3825;16.209775;Natural reef;Croatia;Split-Dalmatia County;?olta;Marini?a Rat;;;40;40;40;40;0;0;Detritic;No;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;Geogenic and Biogenic;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Infralitoral algae, Coraligen;;;;;yes;Natura 2000 site;Yes;Public Institution More i kr? (Sea and Karst);;;;;;;
43.31520278;16.41066944;Natural reef;Croatia;Split-Dalmatia County;Bra?;Rt Kobila;;;40;40;40;40;0;0;Detritic;No;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;Geogenic and Biogenic;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Infralitoral algae, Coraligen ;;;;;yes;Natura 2000 site;Yes;Public Institution More i kr? (Sea and Karst);;;;;;;Association Sunce field mapping
43.73047222;15.85630556;Natural reef;Croatia;?ibenik;?ibenik;Reef sv. Ante;;;40;40;40;40;0;0;Mud;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;Biogenic;;;;;;;;;;;;;;;;;Professional fishery;;;infralitoral algae;;Maybe;;Maybe;yes;Natura 2000 site (POVS HR3000171 U??e Krke) ;no;no;;no;no;no;no;;
43.024;16.252;Natural reef;Croatia;Split-Dalmatia;Island Vis;Pokrivena reef;;;1;1;1;20;1.84;1.84;Rocks;Yes;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;;600;;;;;;;;;;;;;;;;Professional fishery, Recreational fishery;Diving/Snorkeling;;Coralligenus, posidonia meadows;no;No;Labrus viridis, Pinna nobilis;Labrus viridis, Pinna nobilis;yes;Natura 2000 site;no;no;;no;no;no;no;;
