"Type","Country","Region","Location","Name","Latitude","Longitude","Year Deployment","Year Modification","Bottom Depth [m]","Reef Edge [m]","Min. Dist. From Coastline [km]","Surrounding Seabed","Meadows","Reef Typology","Structure Wreck","Material","Arrangement Modules","Origin Reef","Total Area [sqm]","Total Volume [cum]","Oasis [Nr.]","Distance Between Oasis [m]","Oasi Dimension[sqm]","Type Of Structures","Structures [Nr.]","Structures Dimension [m]","Dist. Between Structures [m]","Modules Shape","Modules [Nr.]","Dist Between Modules [m]","Dimension LWH [m]","Weight Or Displacement [tons]","Experimental/Professional","Scope","Exploitation","Possible Exploitation","Observations","Biocenosis","Alien Species","Protected Species","Protected area","Management Program","Concession Area","Surveillance Service","Monitoring Program","Available data","Available literature (Scientific or Grey)"
"Natural reef","Croatia","Istra","Rovinj","Sv Ivan na pučini",45.0422,13.6138,,,18,0,4,"Rocks","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Istra","Banjole","Bumbište",44.8125,13.8613,,,35,0,1,,"No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Aplysina aerophoba",,,"no","no",,,"No",,
"Natural reef","Croatia","Istra","Banjole","Fraškerić",44.8241,13.8408,,,25,0,0.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Istra","Brseč","Lonjica",45.1697,14.0237,,,47,0,7.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Eunicella Cavolinii, Paramuricea Clavata",,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Martinščica","Galijula",44.7361,14.1888,,,40,12,14.8,,"No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Mali Lošinj","Male Srakane",44.5636,14.3275,,,10,0,11,"Gravel","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Mali Lošinj","Margarina",44.4969,14.3086,,,45,0,12,"Sand","Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Krk","Treća vala",44.9738,14.4958,,,38,0,11,"Sand","Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Sydnium",,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Vrbnik","Kamenjak Lagnuste",45.075,14.7375,,,55,0,4.6,"Sand",,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Condylactis aurantiaca",,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Vrbnik","Tenki",45.0708,14.7266,,,43,3,6.4,"Rocks, Sand",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Kampor","Grgur Kanjon",44.8666,14.7761,,,50,3,20.3,"Rocks, Gravel",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Primorje-Gorski Kotar","Kampor","Dvostruka  Stijena",44.8502,14.8175,,,45,0,24,"Sand","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Pinna nobilis",,"Pinna nobilis","no","no",,,"No",,
"Natural reef","Croatia","Zadar","Novalja","Maun",44.418,14.9519,,,40,9,1.8,,"Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Clavelina oblonga",,,"no","no",,,"No",,
"Natural reef","Croatia","Zadar","Božava","Mežanj",44.0911,14.919,,,40,6,25,"Sand","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Zadar","Božava","Kampanel Mišnjak",44.0719,14.9313,,,50,15,25.9,,,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Gorgoniidae",,,"no","no",,,"No",,
"Natural reef","Croatia","Šibenik","Šibenik","Šibenski most",43.7622,15.8527,,,28,0,3.7,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Veretillum cynomorium",,,"no","no",,,"No",,
"Natural reef","Croatia","Šibenik","Žirje","Blitvenica",43.6236,15.5769,,,45,0,6.4,,"Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Alcyonium corlloides",,,"no","no",,,"No",,
"Natural reef","Croatia","Šibenik","Krapanj","Krapanj",43.6663,15.9069,,,10,0,1.8,"Rocks, Sand","No","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Porifera",,,"no","no",,,"No",,
"Natural reef","Croatia","Šibenik","Primošten","Smokvica",43.595,15.9113,,,30,0,1.3,"Sand","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Porifera",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Komiža","Jabuka",43.0822,15.458,,,60,5,51.8,,"Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Cystoseria",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Komiža","Brusnik",43.1166,15.8144,,,60,20,24,"Sand",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Eunicella cavolini",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Vis","Volići",43.0855,16.1933,,,30,0,3.3,,"Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Gorgoniidae",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Vis","Vodnjak Kampanel",43.1788,16.3094,,,57,5,12.9,,"Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Paramuricea Clavata",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Hvar","Vela Garša",43.1819,16.4061,,,30,0,3.7,"Sand",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Stomorska","Livka, Galerija",43.3241,16.3863,,,40,0,6.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Pseudolithophyllum expansum, Eunicella singularis",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Starigrad","Kabal",43.2244,16.5191,,,50,5,8.3,"Sand",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Hacelia attenuatu",,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Bol","Smočiguzica",43.2333,16.5722,,,57,5,7.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Stanići","Stanići",43.4125,16.7266,,,20,0,0.2,"Sand, mud",,"Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Split-Dalmatia","Brela","Vrulja",43.3991,16.8883,,,50,0,1.8,"Rocks",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Corynactis viridis",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Ubli","Struga",42.7277,16.8944,,,55,25,3.7,,"Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Paramuricea Clavata",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Zaklopatica","Glavat",42.775,17.1527,,,60,6,25.9,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Lumbarda","Ražnjić",42.9169,17.2027,,,45,30,3.7,,"Yes","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Trstenik","Dingač",42.915,17.3597,,,55,25,1.8,"Sand","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Pomena","Goli Rat",42.7836,17.3186,,,40,6,3.7,"Rocks","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Pomena","Greben Štit",42.7716,17.3325,,,60,5,5.5,"Sand",,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Pomena","Zakamenica",42.7661,17.3566,,,55,8,7.4,,"No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Pomena","Lenga",42.7555,17.3883,,,86,5,10,,,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Pomena","Vanji Škoj",42.7522,17.4002,,,46,0,11.1,"Sand",,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Rhodophyta",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Jabuka",42.6611,18.0194,,,40,9,7.4,,,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Bezdan",42.6619,18.0194,,,57,1,7.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Fasciolaria lignaria",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Grebeni",42.6511,18.0544,,,20,5,7.4,,"Yes","Low profile reef (the reef protrudes less than 20 meters  from the base substratum)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Posidonia meadows, 
cistoseire meadows",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Mala Afrika",42.6505,18.0583,,,40,5,3.7,,,"High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Molunat","Sv. Andrija",42.645,18.0858,,,80,3,12.9,"Sand",,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Haliclona mediterranea",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Tomislav",42.6336,18.1147,,,40,20,7.4,"Sand","No","Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Dubrovnik","Lokrum",42.6216,18.1202,,,5,0,7.4,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Cavtat","Bobara",42.5861,18.1783,,,80,5,2.7,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Cavtat","Otočić Mrkan",42.5802,18.1891,,,60,7,2.7,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Cavtat","Mrkanjac",42.5708,18.2019,,,50,5,2.7,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Eunicella Cavolinii",,,"no","no",,,"No",,
"Natural reef","Croatia","Dobruvnik-Neretva","Molunat","Molunat",42.4419,18.4294,,,45,0,1,,,"Ledges (vertical reef face characterized by visible crevices)",,,,,,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,,,,"no","no",,,"No",,
"Natural reef","Croatia","Šibenik-Knin County","Rogoznica","Smokvica Vela",43.5138888888889,15.9377777777778,,,50,50,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"no","no",,,"No",,"Diving guide for the Šibenik-Knin county"
"Natural reef","Croatia","Šibenik-Knin County","Kaprije","Rt Kaprije",43.7194444444444,15.6727777777778,,,45,30,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Natura 2000 site, SCI","Public Institution for the Management of Protected Natural Areas and Other Protected Natural Areas in Šibenik-Knin County",,,,,"Diving guide for the Šibenik-Knin county"
"Natural reef","Croatia","Šibenik-Knin County","Blitvenica lighthouse","Blitvenica",43.6247222222222,15.5747222222222,,,60,42,5.4,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Natura 2000 site, SCI","Public Institution for the Management of Protected Natural Areas and Other Protected Natural Areas in Šibenik-Knin County",,,,,"Diving guide for the Šibenik-Knin county"
"Natural reef","Croatia","Split-Dalmatia County","Šolta","Marinića Rat",43.3825,16.209775,,,40,40,0,"Detritic","No","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen",,,"Natura 2000 site","Public Institution More i krš (Sea and Karst)",,,,,
"Natural reef","Croatia","Split-Dalmatia County","Brač","Rt Kobila",43.3152027777778,16.4106694444444,,,40,40,0,"Detritic","No","Ledges (vertical reef face characterized by visible crevices)",,,,"Geogenic and Biogenic",,,,,,,,,,,,,,,,,"Diving/Snorkeling","Diving/Snorkeling",,"Infralitoral algae, Coraligen ",,,"Natura 2000 site","Public Institution More i krš (Sea and Karst)",,,,,"Association Sunce field mapping"
"Natural reef","Croatia","Šibenik","Šibenik","Reef sv. Ante",43.7304722222222,15.8563055555556,,,40,40,0,"Mud","Yes","Ledges (vertical reef face characterized by visible crevices)",,,,"Biogenic",,,,,,,,,,,,,,,,,"Professional fishery",,,"infralitoral algae",,,"Natura 2000 site (POVS HR3000171 Ušće Krke) ","no",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia","Island Vis","Pokrivena reef",43.024,16.252,,,1,20,1.84,"Rocks","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,600,,,,,,,,,,,,,,,,"Professional fishery, Recreational fishery","Diving/Snorkeling",,"Coralligenus, posidonia meadows","no","Labrus viridis, Pinna nobilis","Natura 2000 site","no",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia","Island Biševo","Baba reef",42.9536666666667,16.0028333333333,,,2,40,0.21,"Rocks, Sand","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,200,,,,,,,,,,,,,,,,"Professional fishery, Recreational fishery","Diving/Snorkeling",,"Coralligenus, posidonia meadows","no","Labrus viridis","Natura 2000 site","no",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia","Island Vis","Stupišće reef",43.0053333333333,16.0585,,,10,45,0.5,"Rocks, Sand","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,500,,,,,,,,,,,,,,,,"Diving/Snorkeling, Recreational Fishery","Diving/Snorkeling",,"Coralligenus, posidonia meadows","no","Labrus viridis, Pinna nobilis","Natura 2000 site","no",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia","Island Vis","Seget reef",43.071,16.0198333333333,,,80,70,3.33,"Rocks","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,,11000,,,,,,,,,,,,,,,,"Diving/Snorkeling, Recreational Fishery","Diving/Snorkeling, Recreational fishery",,"Coralligenus","no","Labrus viridis","Natura 2000 site (POVS HR3000469 Viški akvatorij, bottlenose dolphin)","no",,"no","no",,
"Natural reef","Croatia","Split-Dalmatia","Island Vis","Sika od Stupišta",43.0071666666667,16.0661666666667,,,50,43,0.3,"Detritic","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Biogenic",,,,,,,,,,,,,,,,,,"Diving/Snorkeling",,"infralitoral algae, coraligenic community ",,,"Natura 2000 (POVS HR3000097 Island Vis- underwater, reefs); Geopark Vis Archipelago      ","no",,"no","no",,
"Natural reef","Croatia","Zadar","Island Pag","Rt Letavica",44.4645833333333,14.9406666666667,,,39,25,0.13,"Detritic","Yes","High profile reef (the reef protrudes more than 20 meters from the base substratum) ",,,,"Biogenic",,,,,,,,,,,,,,,,,"Archaeological site - research","Diving/Snorkeling, Cultural tourism",,"infralitoral algae",,,"Natura 2000 (POP HR1000023 SZ Dalmacija i Pag)","no",,"no","no",,"https://www.discover-pag.com/hr/.;"
